time,y1,y2
0,10,5
1,12.825100176494,4.31966087035791
2,23.9533780482094,2.67307436345684
3,37.1494747787064,3.031069931845
4,53.4914281959872,4.19108383128845
5,74.8402892129805,12.6978879250681
6,80.3327455272753,36.4286332605524
7,40.9321364457011,77.2731460671581
8,10.9815710428176,76.6401020766479
9,5.78469042888891,56.1571066099262
10,3.68813214711589,36.0667075576562
11,3.54794688840928,25.2182660577955
12,3.60362265098962,15.1601837252657
13,5.88071597582575,11.88973351711
14,6.49593355156179,7.89377881375599
15,10.9640754799333,5.83654709120252
16,14.9747179595155,6.38258869851071
17,23.9279443759563,3.35630530836201
18,34.2685666948827,2.64227353959997
19,53.1621982580323,6.06513798338425
20,75.0264951804026,13.1703835472069
21,80.1899967312644,35.0161000831893
22,43.1537657219319,76.3343266600636
23,12.795624361102,76.9343100065288
24,3.75854846260751,55.8879098705701
25,4.20485238419801,38.8691672681325
26,5.23123265812616,23.5995742898715
27,3.83758095285563,17.044073883233
28,5.89851932413896,9.15731971027246
29,6.52703975712725,6.03497368065838
30,9.15494138135571,3.65727047918292
